"No.","Time","Source","PHY","Protocol","Length","Delta time (\302\265s end to start)","SN","NESN","More Data","Event counter","Info","bt_data","comment"
"2811","101.984","Slave_0x50656319","LE 1M","ATT","5","150\302\265s","1","0","False","487","Rcvd Write Response, Handle: 0x000a (Unknown: Unknown)","",""
"2818","102.174","Master_0x50656319","LE 1M","ATT","12","47193\302\265s","1","1","False","491","Sent Write Request, Handle: 0x000a (Unknown: Unknown)","ffff020c0e",""
"2821","102.221","Slave_0x50656319","LE 1M","ATT","5","150\302\265s","0","1","False","492","Rcvd Write Response, Handle: 0x000a (Unknown: Unknown)","",""
"2839","102.696","Master_0x50656319","LE 1M","ATT","12","47193\302\265s","1","1","False","502","Sent Write Request, Handle: 0x000a (Unknown: Unknown)","ffff020103","move north\\n"
"2842","102.744","Slave_0x50656319","LE 1M","ATT","5","150\302\265s","0","1","False","503","Rcvd Write Response, Handle: 0x000a (Unknown: Unknown)","",""
"2851","102.981","Master_0x50656319","LE 1M","ATT","12","47193\302\265s","1","1","False","508","Sent Write Request, Handle: 0x000a (Unknown: Unknown)","ffff020103",""
"2854","103.029","Slave_0x50656319","LE 1M","ATT","5","150\302\265s","0","1","False","509","Rcvd Write Response, Handle: 0x000a (Unknown: Unknown)","",""
"2861","103.219","Master_0x50656319","LE 1M","ATT","12","47192\302\265s","0","0","False","513","Sent Write Request, Handle: 0x000a (Unknown: Unknown)","ffff020103",""
"2864","103.266","Slave_0x50656319","LE 1M","ATT","5","150\302\265s","1","0","False","514","Rcvd Write Response, Handle: 0x000a (Unknown: Unknown)","",""
"2873","103.504","Master_0x50656319","LE 1M","ATT","12","47193\302\265s","0","0","False","519","Sent Write Request, Handle: 0x000a (Unknown: Unknown)","ffff020c0e",""
"2876","103.551","Slave_0x50656319","LE 1M","ATT","5","150\302\265s","1","0","False","520","Rcvd Write Response, Handle: 0x000a (Unknown: Unknown)","",""
"2883","103.741","Master_0x50656319","LE 1M","ATT","12","47193\302\265s","1","1","False","524","Sent Write Request, Handle: 0x000a (Unknown: Unknown)","ffff020c0e",""
"2886","103.789","Slave_0x50656319","LE 1M","ATT","5","150\302\265s","0","1","False","525","Rcvd Write Response, Handle: 0x000a (Unknown: Unknown)","",""
"2897","104.074","Master_0x50656319","LE 1M","ATT","12","47130\302\265s","0","0","False","531","Sent Write Request, Handle: 0x000a (Unknown: Unknown)","ffff020c0e",""
"2900","104.121","Slave_0x50656319","LE 1M","ATT","5","151\302\265s","1","0","False","532","Rcvd Write Response, Handle: 0x000a (Unknown: Unknown)","",""
"2905","104.264","Master_0x50656319","LE 1M","ATT","12","47192\302\265s","0","0","False","535","Sent Write Request, Handle: 0x000a (Unknown: Unknown)","ffff020c0e",""
"2908","104.311","Slave_0x50656319","LE 1M","ATT","5","150\302\265s","1","0","False","536","Rcvd Write Response, Handle: 0x000a (Unknown: Unknown)","",""
"2915","104.501","Master_0x50656319","LE 1M","ATT","12","47193\302\265s","1","1","False","540","Sent Write Request, Handle: 0x000a (Unknown: Unknown)","ffff020c0e",""
"2919","104.596","Slave_0x50656319","LE 1M","ATT","5","149\302\265s","0","1","False","542","Rcvd Write Response, Handle: 0x000a (Unknown: Unknown)","",""
"2926","104.786","Master_0x50656319","LE 1M","ATT","12","47193\302\265s","0","0","False","546","Sent Write Request, Handle: 0x000a (Unknown: Unknown)","ffff020c0e",""
"2929","104.834","Slave_0x50656319","LE 1M","ATT","5","150\302\265s","1","0","False","547","Rcvd Write Response, Handle: 0x000a (Unknown: Unknown)","",""
"2936","105.024","Master_0x50656319","LE 1M","ATT","12","47193\302\265s","1","1","False","551","Sent Write Request, Handle: 0x000a (Unknown: Unknown)","ffff020c0e",""
"2939","105.071","Slave_0x50656319","LE 1M","ATT","5","150\302\265s","0","1","False","552","Rcvd Write Response, Handle: 0x000a (Unknown: Unknown)","",""
"2948","105.309","Master_0x50656319","LE 1M","ATT","12","47193\302\265s","1","1","False","557","Sent Write Request, Handle: 0x000a (Unknown: Unknown)","ffff020c0e",""
"2951","105.356","Slave_0x50656319","LE 1M","ATT","5","150\302\265s","0","1","False","558","Rcvd Write Response, Handle: 0x000a (Unknown: Unknown)","",""
"2958","105.546","Master_0x50656319","LE 1M","ATT","12","47193\302\265s","0","0","False","562","Sent Write Request, Handle: 0x000a (Unknown: Unknown)","ffff020c0e",""
"2961","105.594","Slave_0x50656319","LE 1M","ATT","5","150\302\265s","1","0","False","563","Rcvd Write Response, Handle: 0x000a (Unknown: Unknown)","",""
"2970","105.831","Master_0x50656319","LE 1M","ATT","12","47193\302\265s","0","0","False","568","Sent Write Request, Handle: 0x000a (Unknown: Unknown)","ffff020c0e",""
"2974","105.926","Slave_0x50656319","LE 1M","ATT","5","150\302\265s","1","0","False","570","Rcvd Write Response, Handle: 0x000a (Unknown: Unknown)","",""
"2979","106.069","Master_0x50656319","LE 1M","ATT","12","47193\302\265s","0","0","False","573","Sent Write Request, Handle: 0x000a (Unknown: Unknown)","ffff020c0e",""
"2982","106.116","Slave_0x50656319","LE 1M","ATT","5","150\302\265s","1","0","False","574","Rcvd Write Response, Handle: 0x000a (Unknown: Unknown)","",""
"2991","106.354","Master_0x50656319","LE 1M","ATT","12","47194\302\265s","0","0","False","579","Sent Write Request, Handle: 0x000a (Unknown: Unknown)","ffff020c0e",""
"2994","106.402","Slave_0x50656319","LE 1M","ATT","5","150\302\265s","1","0","False","580","Rcvd Write Response, Handle: 0x000a (Unknown: Unknown)","",""
"3001","106.591","Master_0x50656319","LE 1M","ATT","12","47192\302\265s","1","1","False","584","Sent Write Request, Handle: 0x000a (Unknown: Unknown)","ffff020c0e",""
"3004","106.639","Slave_0x50656319","LE 1M","ATT","5","150\302\265s","0","1","False","585","Rcvd Write Response, Handle: 0x000a (Unknown: Unknown)","",""
"3013","106.876","Master_0x50656319","LE 1M","ATT","12","47193\302\265s","1","1","False","590","Sent Write Request, Handle: 0x000a (Unknown: Unknown)","ffff020c0e",""
"3016","106.924","Slave_0x50656319","LE 1M","ATT","5","151\302\265s","0","1","False","591","Rcvd Write Response, Handle: 0x000a (Unknown: Unknown)","",""
"3023","107.114","Master_0x50656319","LE 1M","ATT","12","47193\302\265s","0","0","False","595","Sent Write Request, Handle: 0x000a (Unknown: Unknown)","ffff020c0e",""
"3026","107.162","Slave_0x50656319","LE 1M","ATT","5","150\302\265s","1","0","False","596","Rcvd Write Response, Handle: 0x000a (Unknown: Unknown)","",""
"3035","107.399","Master_0x50656319","LE 1M","ATT","12","47193\302\265s","0","0","False","601","Sent Write Request, Handle: 0x000a (Unknown: Unknown)","ffff020c0e",""
"3038","107.447","Slave_0x50656319","LE 1M","ATT","5","151\302\265s","1","0","False","602","Rcvd Write Response, Handle: 0x000a (Unknown: Unknown)","",""
"3045","107.636","Master_0x50656319","LE 1M","ATT","12","47192\302\265s","1","1","False","606","Sent Write Request, Handle: 0x000a (Unknown: Unknown)","ffff020c0e",""
"3048","107.684","Slave_0x50656319","LE 1M","ATT","5","150\302\265s","0","1","False","607","Rcvd Write Response, Handle: 0x000a (Unknown: Unknown)","",""
"3057","107.921","Master_0x50656319","LE 1M","ATT","12","47193\302\265s","1","1","False","612","Sent Write Request, Handle: 0x000a (Unknown: Unknown)","ffff020c0e",""
"3060","107.969","Slave_0x50656319","LE 1M","ATT","5","149\302\265s","0","1","False","613","Rcvd Write Response, Handle: 0x000a (Unknown: Unknown)","",""
"3067","108.159","Master_0x50656319","LE 1M","ATT","12","47193\302\265s","0","0","False","617","Sent Write Request, Handle: 0x000a (Unknown: Unknown)","ffff020c0e",""
"3069","108.206","Master_0x50656319","LE 1M","ATT","12","47097\302\265s","0","0","False","618","Sent Write Request, Handle: 0x000a (Unknown: Unknown)","ffff020c0e",""
"3072","108.207","Slave_0x50656319","LE 1M","ATT","5","150\302\265s","1","0","False","618","Rcvd Write Response, Handle: 0x000a (Unknown: Unknown)","",""
"3079","108.396","Master_0x50656319","LE 1M","ATT","12","47193\302\265s","1","1","False","622","Sent Write Request, Handle: 0x000a (Unknown: Unknown)","ffff020c0e",""
"3082","108.444","Slave_0x50656319","LE 1M","ATT","5","150\302\265s","0","1","False","623","Rcvd Write Response, Handle: 0x000a (Unknown: Unknown)","",""
"3091","108.681","Master_0x50656319","LE 1M","ATT","12","47193\302\265s","1","1","False","628","Sent Write Request, Handle: 0x000a (Unknown: Unknown)","ffff020c0e",""
"3100","108.919","Master_0x50656319","LE 1M","ATT","12","47193\302\265s","0","0","False","633","Sent Write Request, Handle: 0x000a (Unknown: Unknown)","ffff020c0e",""
"3103","108.967","Slave_0x50656319","LE 1M","ATT","5","149\302\265s","1","0","False","634","Rcvd Write Response, Handle: 0x000a (Unknown: Unknown)","",""
"3110","109.156","Master_0x50656319","LE 1M","ATT","12","47193\302\265s","1","1","False","638","Sent Write Request, Handle: 0x000a (Unknown: Unknown)","ffff020c0e",""
"3113","109.204","Slave_0x50656319","LE 1M","ATT","5","151\302\265s","0","1","False","639","Rcvd Write Response, Handle: 0x000a (Unknown: Unknown)","",""
"3122","109.441","Master_0x50656319","LE 1M","ATT","12","47193\302\265s","1","1","False","644","Sent Write Request, Handle: 0x000a (Unknown: Unknown)","ffff020c0e",""
"3125","109.489","Slave_0x50656319","LE 1M","ATT","5","150\302\265s","0","1","False","645","Rcvd Write Response, Handle: 0x000a (Unknown: Unknown)","",""
"3134","109.726","Master_0x50656319","LE 1M","ATT","12","47193\302\265s","1","1","False","650","Sent Write Request, Handle: 0x000a (Unknown: Unknown)","ffff020c0e",""
"3136","109.774","Master_0x50656319","LE 1M","ATT","12","47097\302\265s","1","1","False","651","Sent Write Request, Handle: 0x000a (Unknown: Unknown)","ffff020c0e",""
"3139","109.822","Slave_0x50656319","LE 1M","ATT","5","150\302\265s","0","1","False","652","Rcvd Write Response, Handle: 0x000a (Unknown: Unknown)","",""
"3142","109.964","Master_0x50656319","LE 1M","ATT","12","47193\302\265s","1","1","False","655","Sent Write Request, Handle: 0x000a (Unknown: Unknown)","ffff020c0e",""
"3145","110.012","Slave_0x50656319","LE 1M","ATT","5","149\302\265s","0","1","False","656","Rcvd Write Response, Handle: 0x000a (Unknown: Unknown)","",""
"3151","110.202","Master_0x50656319","LE 1M","ATT","12","47192\302\265s","1","1","False","660","Sent Write Request, Handle: 0x000a (Unknown: Unknown)","ffff020c0e",""
"3154","110.249","Slave_0x50656319","LE 1M","ATT","5","151\302\265s","0","1","False","661","Rcvd Write Response, Handle: 0x000a (Unknown: Unknown)","",""
"3163","110.487","Master_0x50656319","LE 1M","ATT","12","47193\302\265s","1","1","False","666","Sent Write Request, Handle: 0x000a (Unknown: Unknown)","ffff020c0e",""
"3165","110.534","Slave_0x50656319","LE 1M","ATT","5","150\302\265s","0","1","False","667","Rcvd Write Response, Handle: 0x000a (Unknown: Unknown)","",""
"3172","110.724","Master_0x50656319","LE 1M","ATT","12","47193\302\265s","0","0","False","671","Sent Write Request, Handle: 0x000a (Unknown: Unknown)","ffff020c0e",""
"3175","110.772","Slave_0x50656319","LE 1M","ATT","5","150\302\265s","1","0","False","672","Rcvd Write Response, Handle: 0x000a (Unknown: Unknown)","",""
"3184","111.009","Master_0x50656319","LE 1M","ATT","12","47192\302\265s","0","0","False","677","Sent Write Request, Handle: 0x000a (Unknown: Unknown)","ffff020c0e",""
"3187","111.057","Slave_0x50656319","LE 1M","ATT","5","150\302\265s","1","0","False","678","Rcvd Write Response, Handle: 0x000a (Unknown: Unknown)","",""
"3194","111.247","Master_0x50656319","LE 1M","ATT","12","47193\302\265s","1","1","False","682","Sent Write Request, Handle: 0x000a (Unknown: Unknown)","ffff020c0e",""
"3197","111.294","Slave_0x50656319","LE 1M","ATT","5","151\302\265s","0","1","False","683","Rcvd Write Response, Handle: 0x000a (Unknown: Unknown)","",""
"3204","111.484","Master_0x50656319","LE 1M","ATT","12","47193\302\265s","0","0","False","687","Sent Write Request, Handle: 0x000a (Unknown: Unknown)","ffff020c0e",""
"3207","111.532","Slave_0x50656319","LE 1M","ATT","5","150\302\265s","1","0","False","688","Rcvd Write Response, Handle: 0x000a (Unknown: Unknown)","",""
"3214","111.722","Master_0x50656319","LE 1M","ATT","12","47193\302\265s","1","1","False","692","Sent Write Request, Handle: 0x000a (Unknown: Unknown)","ffff020c0e",""
"3217","111.769","Slave_0x50656319","LE 1M","ATT","5","150\302\265s","0","1","False","693","Rcvd Write Response, Handle: 0x000a (Unknown: Unknown)","",""
"3225","112.007","Master_0x50656319","LE 1M","ATT","12","47193\302\265s","0","0","False","698","Sent Write Request, Handle: 0x000a (Unknown: Unknown)","ffff020c0e",""
"3228","112.054","Slave_0x50656319","LE 1M","ATT","5","150\302\265s","1","0","False","699","Rcvd Write Response, Handle: 0x000a (Unknown: Unknown)","",""
"3235","112.244","Master_0x50656319","LE 1M","ATT","12","47193\302\265s","1","1","False","703","Sent Write Request, Handle: 0x000a (Unknown: Unknown)","ffff020c0e",""
"3238","112.292","Slave_0x50656319","LE 1M","ATT","5","150\302\265s","0","1","False","704","Rcvd Write Response, Handle: 0x000a (Unknown: Unknown)","",""
"3246","112.529","Master_0x50656319","LE 1M","ATT","12","47192\302\265s","0","0","False","709","Sent Write Request, Handle: 0x000a (Unknown: Unknown)","ffff020c0e",""
"3247","112.577","Master_0x50656319","LE 1M","ATT","12","47327\302\265s","0","0","False","710","Sent Write Request, Handle: 0x000a (Unknown: Unknown)","ffff020c0e",""
"3250","112.624","Slave_0x50656319","LE 1M","ATT","5","151\302\265s","1","0","False","711","Rcvd Write Response, Handle: 0x000a (Unknown: Unknown)","",""
"3255","112.767","Master_0x50656319","LE 1M","ATT","12","47193\302\265s","0","0","False","714","Sent Write Request, Handle: 0x000a (Unknown: Unknown)","ffff020c0e",""
"3258","112.814","Slave_0x50656319","LE 1M","ATT","5","150\302\265s","1","0","False","715","Rcvd Write Response, Handle: 0x000a (Unknown: Unknown)","",""
"3267","113.052","Master_0x50656319","LE 1M","ATT","12","47193\302\265s","0","0","False","720","Sent Write Request, Handle: 0x000a (Unknown: Unknown)","ffff020c0e",""
"3270","113.099","Slave_0x50656319","LE 1M","ATT","5","150\302\265s","1","0","False","721","Rcvd Write Response, Handle: 0x000a (Unknown: Unknown)","",""
"3277","113.289","Master_0x50656319","LE 1M","ATT","12","47193\302\265s","1","1","False","725","Sent Write Request, Handle: 0x000a (Unknown: Unknown)","ffff020c0e",""
"3280","113.337","Slave_0x50656319","LE 1M","ATT","5","150\302\265s","0","1","False","726","Rcvd Write Response, Handle: 0x000a (Unknown: Unknown)","",""
"3287","113.527","Master_0x50656319","LE 1M","ATT","12","47193\302\265s","0","0","False","730","Sent Write Request, Handle: 0x000a (Unknown: Unknown)","ffff020c0e",""
"3290","113.574","Slave_0x50656319","LE 1M","ATT","5","151\302\265s","1","0","False","731","Rcvd Write Response, Handle: 0x000a (Unknown: Unknown)","",""
"3299","113.812","Master_0x50656319","LE 1M","ATT","12","47193\302\265s","0","0","False","736","Sent Write Request, Handle: 0x000a (Unknown: Unknown)","ffff020c0e",""
"3302","113.859","Slave_0x50656319","LE 1M","ATT","5","150\302\265s","1","0","False","737","Rcvd Write Response, Handle: 0x000a (Unknown: Unknown)","",""
"3309","114.049","Master_0x50656319","LE 1M","ATT","12","47193\302\265s","1","1","False","741","Sent Write Request, Handle: 0x000a (Unknown: Unknown)","ffff020c0e",""
"3312","114.097","Slave_0x50656319","LE 1M","ATT","5","149\302\265s","0","1","False","742","Rcvd Write Response, Handle: 0x000a (Unknown: Unknown)","",""
"3319","114.287","Master_0x50656319","LE 1M","ATT","12","47193\302\265s","0","0","False","746","Sent Write Request, Handle: 0x000a (Unknown: Unknown)","ffff020c0e",""
"3322","114.334","Slave_0x50656319","LE 1M","ATT","5","151\302\265s","1","0","False","747","Rcvd Write Response, Handle: 0x000a (Unknown: Unknown)","",""
"3331","114.572","Master_0x50656319","LE 1M","ATT","12","47193\302\265s","0","0","False","752","Sent Write Request, Handle: 0x000a (Unknown: Unknown)","ffff020c0e",""
"3334","114.620","Slave_0x50656319","LE 1M","ATT","5","150\302\265s","1","0","False","753","Rcvd Write Response, Handle: 0x000a (Unknown: Unknown)","",""
"3341","114.809","Master_0x50656319","LE 1M","ATT","12","47193\302\265s","1","1","False","757","Sent Write Request, Handle: 0x000a (Unknown: Unknown)","ffff020c0e",""
"3344","114.857","Slave_0x50656319","LE 1M","ATT","5","150\302\265s","0","1","False","758","Rcvd Write Response, Handle: 0x000a (Unknown: Unknown)","",""
"3351","115.047","Master_0x50656319","LE 1M","ATT","12","47193\302\265s","0","0","False","762","Sent Write Request, Handle: 0x000a (Unknown: Unknown)","ffff020c0e",""
"3355","115.142","Slave_0x50656319","LE 1M","ATT","5","150\302\265s","1","0","False","764","Rcvd Write Response, Handle: 0x000a (Unknown: Unknown)","",""
"3362","115.332","Master_0x50656319","LE 1M","ATT","12","47192\302\265s","1","1","False","768","Sent Write Request, Handle: 0x000a (Unknown: Unknown)","ffff020c0e",""
"3365","115.380","Slave_0x50656319","LE 1M","ATT","5","150\302\265s","0","1","False","769","Rcvd Write Response, Handle: 0x000a (Unknown: Unknown)","",""
"3372","115.569","Master_0x50656319","LE 1M","ATT","12","47193\302\265s","0","0","False","773","Sent Write Request, Handle: 0x000a (Unknown: Unknown)","ffff020c0e",""
"3375","115.617","Slave_0x50656319","LE 1M","ATT","5","150\302\265s","1","0","False","774","Rcvd Write Response, Handle: 0x000a (Unknown: Unknown)","",""
"3384","115.854","Master_0x50656319","LE 1M","ATT","12","47194\302\265s","0","0","False","779","Sent Write Request, Handle: 0x000a (Unknown: Unknown)","ffff020c0e",""
"3387","115.902","Slave_0x50656319","LE 1M","ATT","5","150\302\265s","1","0","False","780","Rcvd Write Response, Handle: 0x000a (Unknown: Unknown)","",""
"3393","116.092","Master_0x50656319","LE 1M","ATT","12","47193\302\265s","0","0","False","784","Sent Write Request, Handle: 0x000a (Unknown: Unknown)","ffff020c0e",""
"3396","116.140","Slave_0x50656319","LE 1M","ATT","5","150\302\265s","1","0","False","785","Rcvd Write Response, Handle: 0x000a (Unknown: Unknown)","",""
"3403","116.329","Master_0x50656319","LE 1M","ATT","12","47193\302\265s","1","1","False","789","Sent Write Request, Handle: 0x000a (Unknown: Unknown)","ffff020c0e",""
"3406","116.377","Slave_0x50656319","LE 1M","ATT","5","151\302\265s","0","1","False","790","Rcvd Write Response, Handle: 0x000a (Unknown: Unknown)","",""
"3415","116.614","Master_0x50656319","LE 1M","ATT","12","47193\302\265s","1","1","False","795","Sent Write Request, Handle: 0x000a (Unknown: Unknown)","ffff020c0e",""
"3418","116.662","Slave_0x50656319","LE 1M","ATT","5","150\302\265s","0","1","False","796","Rcvd Write Response, Handle: 0x000a (Unknown: Unknown)","",""
"3425","116.852","Master_0x50656319","LE 1M","ATT","12","47194\302\265s","0","0","False","800","Sent Write Request, Handle: 0x000a (Unknown: Unknown)","ffff020c0e",""
"3428","116.900","Slave_0x50656319","LE 1M","ATT","5","150\302\265s","1","0","False","801","Rcvd Write Response, Handle: 0x000a (Unknown: Unknown)","",""
"3435","117.089","Master_0x50656319","LE 1M","ATT","12","47129\302\265s","1","1","False","805","Sent Write Request, Handle: 0x000a (Unknown: Unknown)","ffff020c0e",""
"3438","117.137","Slave_0x50656319","LE 1M","ATT","5","150\302\265s","0","1","False","806","Rcvd Write Response, Handle: 0x000a (Unknown: Unknown)","",""
"3447","117.374","Master_0x50656319","LE 1M","ATT","12","47192\302\265s","1","1","False","811","Sent Write Request, Handle: 0x000a (Unknown: Unknown)","ffff020c0e",""
"3450","117.422","Slave_0x50656319","LE 1M","ATT","5","150\302\265s","0","1","False","812","Rcvd Write Response, Handle: 0x000a (Unknown: Unknown)","",""
"3457","117.612","Master_0x50656319","LE 1M","ATT","12","47193\302\265s","0","0","False","816","Sent Write Request, Handle: 0x000a (Unknown: Unknown)","ffff020c0e",""
"3460","117.660","Slave_0x50656319","LE 1M","ATT","5","150\302\265s","1","0","False","817","Rcvd Write Response, Handle: 0x000a (Unknown: Unknown)","",""
"3468","117.897","Master_0x50656319","LE 1M","ATT","12","47193\302\265s","1","1","False","822","Sent Write Request, Handle: 0x000a (Unknown: Unknown)","ffff020c0e",""
"3471","117.945","Slave_0x50656319","LE 1M","ATT","5","150\302\265s","0","1","False","823","Rcvd Write Response, Handle: 0x000a (Unknown: Unknown)","",""
"3478","118.134","Master_0x50656319","LE 1M","ATT","12","47193\302\265s","0","0","False","827","Sent Write Request, Handle: 0x000a (Unknown: Unknown)","ffff020c0e",""
"3481","118.182","Slave_0x50656319","LE 1M","ATT","5","150\302\265s","1","0","False","828","Rcvd Write Response, Handle: 0x000a (Unknown: Unknown)","",""
"3488","118.372","Master_0x50656319","LE 1M","ATT","12","47193\302\265s","1","1","False","832","Sent Write Request, Handle: 0x000a (Unknown: Unknown)","ffff020c0e",""
"3491","118.420","Slave_0x50656319","LE 1M","ATT","5","150\302\265s","0","1","False","833","Rcvd Write Response, Handle: 0x000a (Unknown: Unknown)","",""
"3500","118.657","Master_0x50656319","LE 1M","ATT","12","47192\302\265s","1","1","False","838","Sent Write Request, Handle: 0x000a (Unknown: Unknown)","ffff020c0e",""
"3503","118.705","Slave_0x50656319","LE 1M","ATT","5","151\302\265s","0","1","False","839","Rcvd Write Response, Handle: 0x000a (Unknown: Unknown)","",""
